tree_id,longitude,latitude,canopy_area,CanDia1,CanDia2,dieback_pc,max_height,base_live_canopy,crown_depth,live_crown_ratio,diameter_at_base_wet,diameter_at_30_cm,disk_diameter_wet,disk_diameter_dry,base_ba_wet,disk_ba_wet,disk_ba_dry,inside_bark_area,inside_bark_diam,heartwood_area,sapwood_area,bark_thickness,wet_mass_small_partititon,wet_mass_large_partititon,wet_mass_total,moisture_content_of_small_partition,moisture_content_of_large_partition,moisture_content_of_total,dry_mass_small_partititon,dry_mass_large_partititon,dry_mass_total_g,dry_mass_total_kg,proportion_subsampled_and_dried_small_partition,proportion_subsampled_and_dried_large_partition,proportion_subsampled_and_dried_total,drone_canopy_height_min,drone_canopy_height_max,HAG_plotmean_of_cellmax_m,HAG_plotmedian_of_cellmax_m,HAG_plot90percentile_of_cellmax_m,Notes,,,,,,,
Comments,decimal degrees,decimal degrees,measured on orthomosaic. In m2,in m,in m,Percentage dieback average occular estimate by Cam and Nick,Maximum height in m measured with a mast,Base of live canopy in m,in m,Percentage,in cm,in cm,in cm,in cm,in cm2,in cm2,in cm2,in cm2,in cm,in cm2,in cm2,in cm,in g,in g,in g,As proportion of wet mass,As proportion of wet mass,As proportion of wet mass,in g,in g,in g,in kg,Subsamples as proportion of total mass,Subsamples as proportion of total mass,Subsamples as proportion of total mass,in m,in m,in m,in m,in m,,,,,,,,
P10,-106.234,34.43988,0.150313921,0.49,0.342,0,0.3,0,0.3,1,1.3,NA,1.2,1.1,1.3,1.1,0.9,0.6,0.9,0,0.6,0.1,67,NA,67,0.49,NA,0.49,34.4,NA,34.4,0.03,1,NA,1,0,0.17,0.0168,0,0.09,Lovely small one,,,,,,,
P11,-106.234,34.43989,0.042562809,0.285,0.227,0,0.7,0,0.7,1,2.2,1.4,2.3,2.1,3.8,4.2,3.5,2.3,1.7,0.4,1.9,0.2,620,NA,620,0.504,NA,0.504,307.62,NA,307.62,0.31,1,NA,1,0,0.57,0.0869,0,0.45,Lovely small one,,,,,,,
P12,-106.234,34.44023,4,2.779,1.993,25,3.8,1,2.8,0.74,12.3,11.6,13.1,12.2,118.8,134.8,116,86.4,10.5,14.7,71.7,0.8,19340,21260,40600,0.469,0.339,0.394,10275.99,14048.57,24324.56,24.32,0.05,0.07,0.06,0,3.24,0.1947,0,0.37,"High dieback, low needle retention, parasitic mistletoe present.",,,,,,,
P13,-106.235,34.4408,18,5.257,4.843,10,1.2,0,1.2,1,6.4,3.4,6.6,6,32.2,34.2,28.5,19.9,5,2.3,17.6,0.5,4286,1432,5718,0.507,0.381,0.47,2113.22,886.99,3000.2,3,0.61,0.75,0.65,0,1.21,0.2232,0,0.89,At 30 cm height there were two stems measuring 3.4 and 2.3 cm in diameter.,,,,,,,
P14,-106.235,34.4409,1,1.518,0.996,5,4.4,1,3.4,0.77,22.1,19.8,21.2,20.1,383.6,353,317,245.9,17.7,59.3,186.6,1.2,166800,125420,292220,0.418,0.41,0.415,96997.43,74013.38,171010.81,171.01,0.03,0.05,0.04,0,4.63,1.0012,0.01,3.703362345,"DBH measuremnt at 0.45 cm, above branch.",,,,,,,
P15,-106.235,34.44118,8,3.724,3.353,30,6.4,0,6.4,1,20.2,18.8,19.5,18.6,320.5,298.6,272.4,193.6,15.7,64.2,129.4,1.5,57000,96640,153640,0.364,0.379,0.373,36257.89,60003.41,96261.29,96.26,0.05,0.05,0.05,0,5.03,0.2499,0,0.36,"High dieback, low needle retention, parasitic mistletoe present.",,,,,,,
P16,-106.235,34.44116,3,1.957,1.89,0,1.9,0,1.9,1,8.1,7.2,8.4,7.9,51.5,55.4,49,33.2,6.5,1.7,31.5,0.7,15600,4479,20079,0.482,0.449,0.474,8080.32,2467.18,10547.5,10.55,0.09,0.65,0.21,0,1.88,0.5378,0.27,1.44,Diameter measured above a branch and the base.,,,,,,,
P17,-106.236,34.44102,5,2.798,2.44,5,3.2,0,3.2,1,11.4,9.2,11.2,10.6,102.1,98.5,88.6,61.9,8.9,7.4,54.5,0.9,23820,12920,36740,0.461,0.389,0.433,12842.93,7896.83,20739.76,20.74,0.02,0.2,0.09,0,3.4,0.4829,0.05,2.38,Diameter measured above swell at the base,,,,,,,
P18,-106.235,34.44022,7,3.987,2.614,10,6,2.2,3.8,0.63,22.7,20.2,22.3,20.7,404.7,390.6,336.7,262.2,18.3,114,148.2,1.2,48920,77100,126020,0.464,0.35,0.389,26200.2,50107.88,76308.08,76.31,0.03,0.05,0.04,0,6.36,1.4299,0.08,5.18,Leaning lots.,,,,,,,
P19,-106.235,34.43915,12,4.595,3.434,20,5.1,1.6,3.5,0.69,17.9,17.1,16.5,16.1,251.6,213.8,204.5,149.1,13.8,46.8,102.3,1.2,57840,51400,109240,0.375,0.35,0.363,36165.87,33392.92,69558.79,69.56,0.06,0.11,0.09,0,5.22,0.9502,0.01,3.81,Thin crown (only ca. 2-3 years of needles). Juniper next to base was removed prior to survey and harvest.,,,,,,,
P20,-106.235,34.43911,8,3.532,2.924,5,5.1,1.4,3.7,0.73,19.3,18.8,18.3,17.6,292.6,263,242.8,196.3,15.8,60.9,135.4,0.9,46440,78520,124960,0.406,0.385,0.393,27572.45,48287.7,75860.15,75.86,0.07,0.06,0.07,0,4.85,1.4176,0.03,4.13,An adjacent Juniper next to base was removed prior to survey and harvest.,,,,,,,
